" Monthly averaged odata for station MLO       
"
""
" /data/instrument/database_active//curves///mloo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1995,  4,        0, 1995.2877,  -185.05,  -163.45,    -185.91,  -164.32,    -185.05,  -163.45
1995,  5,        0, 1995.3699,  -179.72,  -159.06,    -186.41,  -165.74,    -179.72,  -159.06
1995,  6,        0, 1995.4548,  -175.31,  -165.02,    -177.56,  -167.27,    -175.31,  -165.02
1995,  7,        0, 1995.5370,  -168.49,  -171.81,    -165.48,  -168.80,    -168.49,  -171.81
1995,  8,        0, 1995.6219,  -157.34,  -174.79,    -152.99,  -170.44,    -157.34,  -174.79
1995,  9,        0, 1995.7068,  -149.77,  -175.07,    -146.83,  -172.13,    -149.77,  -175.07
1995, 10,        0, 1995.7890,  -147.61,  -170.75,    -150.71,  -173.84,    -147.61,  -170.75
1995, 11,        0, 1995.8740,  -153.65,  -167.47,    -161.88,  -175.69,    -153.65,  -167.47
1995, 12,        0, 1995.9562,  -165.83,  -167.55,    -175.86,  -177.58,    -165.83,  -167.55
1996,  1,        0, 1996.0410,  -190.00,  -182.45,    -187.15,  -179.61,    -190.00,  -182.45
1996,  2,        0, 1996.1257,  -185.34,  -174.63,    -192.41,  -181.70,    -185.34,  -174.63
1996,  3,        0, 1996.2049,  -194.84,  -179.81,    -198.74,  -183.71,    -194.84,  -179.81
1996,  4,        0, 1996.2896,  -204.40,  -182.70,    -207.59,  -185.89,    -204.40,  -182.70
1996,  5,        0, 1996.3716,  -208.80,  -188.27,    -208.54,  -188.01,    -208.80,  -188.27
1996,  6,        0, 1996.4563,  -206.50,  -196.43,    -200.23,  -190.17,    -206.50,  -196.43
1996,  7,        0, 1996.5383,  -198.54,  -202.08,    -188.67,  -192.21,    -198.54,  -202.08
1996,  8,        0, 1996.6230,  -172.08,  -189.67,    -176.66,  -194.25,    -172.08,  -189.67
1996,  9,        0, 1996.7077,  -163.16,  -188.48,    -170.88,  -196.20,    -163.16,  -188.48
1996, 10,        0, 1996.7896,  -186.93,  -210.02,    -174.90,  -197.99,    -186.93,  -210.02
1996, 11,        0, 1996.8743,  -193.88,  -207.65,    -185.95,  -199.72,    -193.88,  -207.65
1996, 12,        0, 1996.9563,  -201.27,  -202.97,    -199.57,  -201.27,    -201.27,  -202.97
1997,  1,        0, 1997.0411,  -211.25,  -203.70,    -210.30,  -202.75,    -211.25,  -203.70
1997,  2,        0, 1997.1260,  -219.81,  -209.09,    -214.82,  -204.10,    -219.81,  -209.09
1997,  3,        0, 1997.2027,  -222.39,  -207.54,    -220.08,  -205.23,    -222.39,  -207.54
1997,  4,        0, 1997.2877,  -231.12,  -209.52,    -227.99,  -206.39,    -231.12,  -209.52
1997,  5,        0, 1997.3699,  -231.60,  -210.93,    -228.09,  -207.43,    -231.60,  -210.93
1997,  6,        0, 1997.4548,  -219.77,  -209.48,    -218.74,  -208.45,    -219.77,  -209.48
1997,  7,        0, 1997.5370,  -207.51,  -210.83,    -206.10,  -209.42,    -207.51,  -210.83
1997,  8,        0, 1997.6219,  -189.73,  -207.18,    -192.97,  -210.42,    -189.73,  -207.18
1997,  9,        0, 1997.7068,  -168.12,  -193.42,    -186.16,  -211.46,    -168.12,  -193.42
1997, 10,        0, 1997.7890,  -183.00,  -206.13,    -189.40,  -212.53,    -183.00,  -206.13
1997, 11,        0, 1997.8740,  -199.01,  -212.82,    -199.90,  -213.71,    -199.01,  -212.82
1997, 12,        0, 1997.9562,  -205.32,  -207.04,    -213.19,  -214.91,    -205.32,  -207.04
1998,  1,        0, 1998.0411,  -215.09,  -207.54,    -223.75,  -216.20,    -215.09,  -207.54
1998,  2,        0, 1998.1260,  -228.43,  -217.71,    -228.24,  -217.52,    -228.43,  -217.71
1998,  3,        0, 1998.2027,  -233.82,  -218.97,    -233.58,  -218.72,    -233.82,  -218.97
1998,  4,        0, 1998.2877,  -253.78,  -232.19,    -241.62,  -220.03,    -253.78,  -232.19
1998,  5,        0, 1998.3699,  -251.02,  -230.36,    -241.91,  -221.24,    -251.02,  -230.36
1998,  6,        0, 1998.4548,  -236.47,  -226.18,    -232.73,  -222.44,    -236.47,  -226.18
1998,  7,        0, 1998.5370,  -215.98,  -219.30,    -220.23,  -223.55,    -215.98,  -219.30
1998,  8,        0, 1998.6219,  -198.28,  -215.73,    -207.20,  -224.65,    -198.28,  -215.73
1998,  9,        0, 1998.7068,  -203.23,  -228.53,    -200.42,  -225.72,    -203.23,  -228.53
1998, 10,        0, 1998.7890,  -206.68,  -229.81,    -203.58,  -226.72,    -206.68,  -229.81
1998, 11,        0, 1998.8740,  -215.33,  -229.15,    -213.90,  -227.72,    -215.33,  -229.15
1998, 12,        0, 1998.9562,  -229.39,  -231.10,    -226.95,  -228.67,    -229.39,  -231.10
1999,  1,        0, 1999.0411,  -236.46,  -228.91,    -237.18,  -229.63,    -236.46,  -228.91
1999,  2,        0, 1999.1260,  -244.76,  -234.04,    -241.31,  -230.59,    -244.76,  -234.04
