" Monthly averaged cdata for station MLO       
"
""
" /data/instrument/database_active//curves///mloc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1995, 10,        0, 1995.7890,   357.58,   360.99,     357.85,   361.26,     357.58,   360.99
1995, 11,        0, 1995.8740,   359.51,   361.53,     359.37,   361.40,     359.51,   361.53
1995, 12,        0, 1995.9562,   360.49,   361.17,     360.85,   361.52,     360.49,   361.17
1996,  1,        0, 1996.0410,   362.58,   362.27,     361.96,   361.65,     362.58,   362.27
1996,  2,        0, 1996.1257,   362.28,   361.41,     362.64,   361.76,     362.28,   361.41
1996,  3,        0, 1996.2049,   363.19,   361.62,     363.44,   361.87,     363.19,   361.62
1996,  4,        0, 1996.2896,   364.65,   361.85,     364.77,   361.98,     364.65,   361.85
1996,  5,        0, 1996.3716,   365.13,   361.79,     365.42,   362.08,     365.13,   361.79
1996,  6,        0, 1996.4563,   364.99,   362.63,     364.55,   362.18,     364.99,   362.63
1996,  7,        0, 1996.5383,   363.47,   363.05,     362.70,   362.28,     363.47,   363.05
1996,  8,        0, 1996.6230,   360.44,   362.38,     360.43,   362.37,     360.44,   362.38
1996,  9,        0, 1996.7077,   358.60,   362.17,     358.89,   362.46,     358.60,   362.17
1996, 10,        0, 1996.7896,   359.37,   362.77,     359.15,   362.55,     359.37,   362.77
1996, 11,        0, 1996.8743,   360.90,   362.92,     360.62,   362.64,     360.90,   362.92
1996, 12,        0, 1996.9563,   361.94,   362.61,     362.06,   362.74,     361.94,   362.61
1997,  1,        0, 1997.0411,   362.75,   362.44,     363.15,   362.84,     362.75,   362.44
1997,  2,        0, 1997.1260,   364.00,   363.12,     363.83,   362.95,     364.00,   363.12
1997,  3,        0, 1997.2027,   364.34,   362.80,     364.60,   363.06,     364.34,   362.80
1997,  4,        0, 1997.2877,   366.50,   363.73,     365.96,   363.19,     366.50,   363.73
1997,  5,        0, 1997.3699,   366.52,   363.18,     366.67,   363.33,     366.52,   363.18
1997,  6,        0, 1997.4548,   365.17,   362.78,     365.87,   363.48,     365.17,   362.78
1997,  7,        0, 1997.5370,   364.04,   363.59,     364.10,   363.64,     364.04,   363.59
1997,  8,        0, 1997.6219,   362.25,   364.16,     361.91,   363.82,     362.25,   364.16
1997,  9,        0, 1997.7068,   360.09,   363.65,     360.46,   364.02,     360.09,   363.65
1997, 10,        0, 1997.7890,   360.59,   364.00,     360.81,   364.22,     360.59,   364.00
1997, 11,        0, 1997.8740,   362.26,   364.29,     362.42,   364.44,     362.26,   364.29
1997, 12,        0, 1997.9562,   363.99,   364.67,     363.99,   364.67,     363.99,   364.67
1998,  1,        0, 1998.0411,   364.80,   364.49,     365.22,   364.91,     364.80,   364.49
