" Monthly averaged odata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1995,  4,        0, 1995.2877,  -133.50,  -152.33,    -130.56,  -149.39,    -133.50,  -152.33
1995,  5,        0, 1995.3699,  -142.92,  -150.01,    -143.98,  -151.06,    -142.92,  -150.01
1995,  6,        0, 1995.4548,  -153.64,  -149.06,    -157.40,  -152.81,    -153.64,  -149.06
1995,  7,        0, 1995.5370,  -167.44,  -152.42,    -169.54,  -154.52,    -167.44,  -152.42
1995,  8,        0, 1995.6219,  -181.13,  -153.67,    -183.71,  -156.25,    -181.13,  -153.67
1995,  9,        0, 1995.7068,  -194.45,  -159.93,    -192.43,  -157.91,    -194.45,  -159.93
1995, 10,        0, 1995.7890,  -199.50,  -171.48,    -187.42,  -159.40,    -199.50,  -171.48
1995, 11,        0, 1995.8740,  -172.12,  -160.86,    -172.03,  -160.78,    -172.12,  -160.86
1995, 12,        0, 1995.9562,  -158.68,  -167.34,    -153.29,  -161.95,    -158.68,  -167.34
1996,  1,        0, 1996.0410,  -142.36,  -169.03,    -136.33,  -163.00,    -142.36,  -169.03
1996,  2,        0, 1996.1257,  -133.53,  -166.57,    -130.87,  -163.92,    -133.53,  -166.57
1996,  3,        0, 1996.2049,  -139.70,  -168.13,    -136.27,  -164.71,    -139.70,  -168.13
1996,  4,        0, 1996.2896,  -137.99,  -156.56,    -146.96,  -165.53,    -137.99,  -156.56
1996,  5,        0, 1996.3716,  -158.30,  -165.13,    -159.53,  -166.37,    -158.30,  -165.13
1996,  6,        0, 1996.4563,  -164.91,  -160.14,    -172.08,  -167.32,    -164.91,  -160.14
1996,  7,        0, 1996.5383,  -179.41,  -164.21,    -183.54,  -168.34,    -179.41,  -164.21
1996,  8,        0, 1996.6230,  -191.63,  -164.02,    -197.13,  -169.52,    -191.63,  -164.02
1996,  9,        0, 1996.7077,  -208.79,  -174.26,    -205.33,  -170.81,    -208.79,  -174.26
1996, 10,        0, 1996.7896,  -199.73,  -171.80,    -200.05,  -172.12,    -199.73,  -171.80
1996, 11,        0, 1996.8743,  -193.68,  -182.50,    -184.71,  -173.53,    -193.68,  -182.50
1996, 12,        0, 1996.9563,  -164.15,  -172.84,    -166.24,  -174.93,    -164.15,  -172.84
1997,  1,        0, 1997.0411,  -144.03,  -170.72,    -149.71,  -176.41,    -144.03,  -170.72
1997,  2,        0, 1997.1260,  -149.03,  -182.08,    -144.85,  -177.90,    -149.03,  -182.08
1997,  3,        0, 1997.2027,  -155.40,  -184.04,    -150.59,  -179.23,    -155.40,  -184.04
1997,  4,        0, 1997.2877,  -160.16,  -178.99,    -161.85,  -180.68,    -160.16,  -178.99
1997,  5,        0, 1997.3699,  -177.11,  -184.19,    -174.96,  -182.04,    -177.11,  -184.19
1997,  6,        0, 1997.4548,  -194.61,  -190.03,    -188.01,  -183.43,    -194.61,  -190.03
1997,  7,        0, 1997.5370,  -199.34,  -184.32,    -199.79,  -184.77,    -199.34,  -184.32
1997,  8,        0, 1997.6219,  -209.40,  -181.94,    -213.62,  -186.16,    -209.40,  -181.94
1997,  9,        0, 1997.7068,  -223.95,  -189.42,    -222.11,  -187.58,    -223.95,  -189.42
1997, 10,        0, 1997.7890,  -216.08,  -188.06,    -217.02,  -189.00,    -216.08,  -188.06
1997, 11,        0, 1997.8740,  -198.84,  -187.59,    -201.78,  -190.52,    -198.84,  -187.59
1997, 12,        0, 1997.9562,  -184.02,  -192.68,    -183.40,  -192.07,    -184.02,  -192.68
1998,  1,        0, 1998.0411,  -166.67,  -193.36,    -167.04,  -193.73,    -166.67,  -193.36
1998,  2,        0, 1998.1260,  -156.80,  -189.85,    -162.42,  -195.47,    -156.80,  -189.85
