" Monthly averaged cdata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1995, 10,        0, 1995.7890,   359.21,   358.77,     359.21,   358.77,     359.21,   358.77
1995, 11,        0, 1995.8740,   359.19,   358.99,     359.12,   358.92,     359.19,   358.99
1995, 12,        0, 1995.9562,   359.20,   359.28,     358.97,   359.05,     359.20,   359.28
1996,  1,        0, 1996.0410,   359.17,   359.40,     358.96,   359.19,     359.17,   359.40
1996,  2,        0, 1996.1257,   359.08,   359.45,     358.95,   359.31,     359.08,   359.45
1996,  3,        0, 1996.2049,   358.83,   359.32,     358.94,   359.42,     358.83,   359.32
1996,  4,        0, 1996.2896,   359.02,   359.44,     359.12,   359.54,     359.02,   359.44
1996,  5,        0, 1996.3716,   359.30,   359.58,     359.36,   359.65,     359.30,   359.58
1996,  6,        0, 1996.4563,   359.69,   359.79,     359.65,   359.76,     359.69,   359.79
1996,  7,        0, 1996.5383,   360.07,   359.81,     360.12,   359.86,     360.07,   359.81
1996,  8,        0, 1996.6230,   360.79,   360.26,     360.49,   359.96,     360.79,   360.26
1996,  9,        0, 1996.7077,   360.58,   360.05,     360.59,   360.06,     360.58,   360.05
1996, 10,        0, 1996.7896,   360.55,   360.11,     360.60,   360.16,     360.55,   360.11
1996, 11,        0, 1996.8743,   360.43,   360.23,     360.46,   360.26,     360.43,   360.23
1996, 12,        0, 1996.9563,   360.21,   360.29,     360.28,   360.36,     360.21,   360.29
1997,  1,        0, 1997.0411,   360.10,   360.33,     360.24,   360.47,     360.10,   360.33
1997,  2,        0, 1997.1260,   360.06,   360.43,     360.22,   360.58,     360.06,   360.43
1997,  3,        0, 1997.2027,   360.40,   360.89,     360.20,   360.69,     360.40,   360.89
1997,  4,        0, 1997.2877,   360.35,   360.77,     360.39,   360.81,     360.35,   360.77
1997,  5,        0, 1997.3699,   361.01,   361.30,     360.64,   360.93,     361.01,   361.30
1997,  6,        0, 1997.4548,   361.01,   361.12,     360.96,   361.06,     361.01,   361.12
1997,  7,        0, 1997.5370,   361.23,   360.98,     361.45,   361.20,     361.23,   360.98
1997,  8,        0, 1997.6219,   361.85,   361.33,     361.88,   361.35,     361.85,   361.33
1997,  9,        0, 1997.7068,   361.86,   361.33,     362.05,   361.52,     361.86,   361.33
1997, 10,        0, 1997.7890,   362.04,   361.61,     362.13,   361.70,     362.04,   361.61
1997, 11,        0, 1997.8740,   361.81,   361.61,     362.10,   361.89,     361.81,   361.61
1997, 12,        0, 1997.9562,   361.87,   361.95,     362.02,   362.10,     361.87,   361.95
1998,  1,        0, 1998.0411,   361.69,   361.92,     362.10,   362.32,     361.69,   361.92
1998,  2,        0, 1998.1260,   361.93,   362.30,     362.19,   362.56,     361.93,   362.30
