Wavelength,Dark Veg Mean,Dark Veg Std
381.0055927,0.010253331,0.0011131292
388.4092083,0.010129038,0.0010177783
395.8158144,0.01000604,0.00094319397
403.2254112,0.0098911375,0.00089628046
410.637999,0.010050205,0.0008942887
418.0535779,0.010474618,0.0009223953
425.4721482,0.0110409735,0.0009656473
432.89271010000004,0.011642284,0.0010087976
440.31726380000003,0.012197791,0.0010501753
447.7428095,0.012836612,0.001093875
455.1703474,0.013459709,0.0011298831
462.59887779999997,0.013918874,0.0011504974
470.03040080000005,0.01431863,0.0011664096
477.4629166,0.014734547,0.0011846584
484.89742559999996,0.015272631,0.0012869162
492.3329278,0.014714109,0.001364424
499.77142349999997,0.016235735,0.0013701762
507.20991280000004,0.018152881,0.0014536658
514.6503961999999,0.021884754,0.0015509648
522.0908735999999,0.02696447,0.0019220951
529.5333453999999,0.033244655,0.0023242703
536.9768117,0.037764225,0.0026506805
544.4212726999999,0.03988845,0.0028868911
551.8667288,0.0415737,0.0029892072
559.31418,0.04111835,0.002970845
566.7616266,0.037739947,0.0027572978
574.2090689,0.03303844,0.002463827
581.6585069,0.030043848,0.002211133
589.107941,0.028140713,0.002110109
596.5583713,0.026655775,0.0020142295
604.0097981,0.026192328,0.0019304991
611.4622214999999,0.024243845,0.0018288657
618.9146418,0.022134861,0.0017131948
626.3680592000001,0.021326179,0.0016559628
633.8214739,0.020934358,0.0016177653
641.2758861,0.020071294,0.001535566
648.730296,0.018423945,0.0014826594
656.1857039,0.017003242,0.0014104603
663.6411099000001,0.015565046,0.0012929265
671.0975142,0.014939837,0.0012745992
678.5539171,0.015601039,0.001305884
686.0103187999999,0.01756917,0.0013890329
693.4677194999999,0.026280966,0.0020585263
700.9251194,0.04805707,0.0037054503
708.3835187000001,0.078797325,0.0059729996
715.8409176,0.11251104,0.008485347
723.2993164,0.15531401,0.011608642
730.7587152,0.19882241,0.014608769
738.2171143,0.24002826,0.017253399
745.6765138,0.2782269,0.019265808
753.1359140000001,0.29501033,0.020561881
760.5963152,0.30485758,0.02128845
768.0557174,0.3115791,0.021683661
775.5161209,0.31680965,0.022003954
782.977526,0.320693,0.02218315
790.4379328,0.3240142,0.022315707
797.8993416,0.32724756,0.02244221
805.3617525,0.3303101,0.022555988
812.8231658,0.33276436,0.02262148
820.2845817,0.33533043,0.022685857
827.7460004000001,0.33784738,0.022757152
835.2074221,0.3402518,0.022817733
842.669847,0.3429088,0.022908617
850.1312753,0.34543326,0.022993982
857.5937073,0.34774712,0.023067307
865.0551432,0.35000175,0.023143712
872.5175831,0.35201195,0.023202632
879.9800273000001,0.35388425,0.02325336
887.441476,0.35548034,0.02329239
894.9039293,0.35644785,0.023284344
902.3663875999999,0.35734463,0.023274098
909.8288511,0.35844398,0.023289423
917.2913198,0.35899296,0.023250356
924.7537941,0.35913077,0.02317683
932.2162741999999,0.35644948,0.022853764
939.6787601999999,0.3528654,0.022437723
947.1402525,0.34910727,0.022045279
954.6027511000001,0.34287703,0.021488706
962.0642563,0.33703485,0.021000281
969.5267683,0.33505175,0.020839967
976.9882874,0.33511132,0.020827139
984.4498136999999,0.3365182,0.020954847
991.9113475,0.3404586,0.02127277
999.3728889,0.34603098,0.021669993
1006.8344382,0.35138622,0.02204434
1014.2949956,0.35697678,0.02241516
1021.7565612999999,0.36274782,0.022796158
1029.2171354,0.36836067,0.023172405
1036.6777184,0.3736132,0.023528866
1044.1383102,0.3783191,0.02384517
1051.5989112,0.38231975,0.024104789
1059.0595215,0.3856103,0.024308072
1066.5201414,0.3881418,0.024456264
1073.9797711,0.3899885,0.024551442
1081.4404107999999,0.39095527,0.02457789
1088.9000606999998,0.39108697,0.024560625
1096.359721,0.39019763,0.024473792
1103.8183919,0.38858184,0.02432234
1111.2780737,0.386655,0.02418624
1118.7367665000002,0.3820231,0.023861045
1126.1964705,0.37263006,0.023110485
1133.6551861,0.35904607,0.022091012
1141.1129133,0.3433223,0.02105504
1148.5716524,0.32449976,0.019863758
1156.0304036,0.31301698,0.019219112
1163.4881672,0.3088601,0.019043623
1170.9459432,0.30705974,0.01899944
1178.403732,0.3057371,0.0189843
1185.8615338,0.30419484,0.018943498
1193.3183487000001,0.30358306,0.018955456
1200.776177,0.30435535,0.01903129
1208.2330189,0.30649742,0.019148357
1215.6898746,0.31003308,0.019307742
1223.1467443,0.31451795,0.01950998
1230.6036282,0.3189986,0.019701967
1238.0595265000002,0.32312408,0.019910714
1245.5154395000002,0.32664278,0.020094061
1252.9723672999999,0.329654,0.020248072
1260.4283102,0.3318536,0.020365708
1267.8832684000001,0.3330329,0.020417104
1275.3392421,0.33336428,0.020425463
1282.7942315,0.3325276,0.02037233
1290.2502368,0.33008224,0.020231036
1297.7052582,0.3257397,0.019984053
1305.160296,0.31919178,0.019616773
1312.6143503,0.31037423,0.01912537
1320.0684213,0.2993433,0.018532041
1327.5225094,-0.009979145,2.0887503e-05
1334.9756146,-0.009979145,2.0887503e-05
1342.4287372000001,-0.009979145,2.0887503e-05
1349.8818774000001,-0.009979145,2.0887503e-05
1357.3350354,-0.009979145,2.0887503e-05
1364.7872115,-0.009979145,2.0887503e-05
1372.2384057999998,-0.009979145,2.0887503e-05
1379.6906185999999,-0.009979145,2.0887503e-05
1387.14185,-0.009979145,2.0887503e-05
1394.5931003,-0.009979145,2.0887503e-05
1402.0433697,-0.009979145,2.0887503e-05
1409.4936582999999,-0.009979145,2.0887503e-05
1416.9439665,-0.009979145,2.0887503e-05
1424.3932944,-0.009979145,2.0887503e-05
1431.8426422999999,-0.009979145,2.0887503e-05
1439.2920103,0.2819657,0.31858256
1446.7403986,0.14750634,0.13351548
1454.1888075,0.10534878,0.044865426
1461.6372371999998,0.09467989,0.027813455
1469.0846878999998,0.10254295,0.043880988
1476.5321597,0.08172307,0.022389982
1483.979653,0.07062201,0.013472658
1491.426168,0.069529064,0.0062948875
1498.8727047,0.07407013,0.00590176
1506.3192635,0.07913574,0.0062980615
1513.7648446,0.083621524,0.007015058
1521.2104481,0.08910163,0.0073263724
1528.6550743,0.09455649,0.0075873104
1536.1007233999999,0.09970914,0.008043339
1543.5453957,0.104797564,0.008451905
1550.9890911999998,0.11012237,0.008887982
1558.4328102,0.11467219,0.009239496
1565.876553,0.11870989,0.00955537
1573.3193198,0.121657856,0.009760659
1580.7621107,0.12574218,0.010068683
1588.204926,0.13088249,0.010460972
1595.6467659,0.13476306,0.010740833
1603.0886306,0.13681246,0.010871552
1610.5295203,0.14035228,0.011100379
1617.9704351999999,0.14437519,0.011376436
1625.4103755,0.14789134,0.011609182
1632.8513415000002,0.15033352,0.0117813265
1640.2903333000002,0.1517995,0.011889183
1647.7303512,0.15269437,0.011988914
1655.1693954,0.1526278,0.012069284
1662.6074661,0.15166228,0.012127862
1670.0455635,0.15075192,0.012127257
1677.4836877999999,0.15093942,0.012158809
1684.9208391999998,0.15038027,0.01211421
1692.3580179,0.1479614,0.011974075
1699.7952243,0.14538245,0.011830549
1707.2314583,0.14269677,0.011724927
1714.6667203,0.1395587,0.011588639
1722.1030105999998,0.13738994,0.011504604
1729.5383292,0.13473201,0.011321649
1736.9726764,0.13425645,0.0111722015
1744.4070523999999,0.13372442,0.0110230185
1751.8414575000002,0.13279156,0.010977889
1759.2748918,0.13378026,0.011014996
1766.7083555000002,0.13378634,0.0109351035
1774.141849,-0.009979145,2.0887503e-05
1781.5743722999998,-0.009979145,2.0887503e-05
1789.0069256000002,-0.009979145,2.0887503e-05
1796.4385092999999,-0.009979145,2.0887503e-05
1803.8701235,-0.009979145,2.0887503e-05
1811.3007684,-0.009979145,2.0887503e-05
1818.7314442,-0.009979145,2.0887503e-05
1826.1611512,-0.009979145,2.0887503e-05
1833.5908895999999,-0.009979145,2.0887503e-05
1841.0206595,-0.009979145,2.0887503e-05
1848.4494612,-0.009979145,2.0887503e-05
1855.8772948,-0.009979145,2.0887503e-05
1863.3051607,-0.009979145,2.0887503e-05
1870.733059,-0.009979145,2.0887503e-05
1878.1599899,-0.009979145,2.0887503e-05
1885.5869537,-0.009979145,2.0887503e-05
1893.0129505,-0.009979145,2.0887503e-05
