WL,ALB
300.0,0.02333921339141264
301.0,0.02311602628701025
302.0,0.02293536324161436
303.0,0.022705124142629055
304.0,0.022600052180579415
305.0,0.022561088951594994
306.0,0.022527784126262104
307.0,0.02251810892523881
308.0,0.02250882603714638
309.0,0.022494199440732984
310.0,0.022528800834052988
311.0,0.022518525822063946
312.0,0.022539320909844673
313.0,0.02255439294391111
314.0,0.022537483383572837
315.0,0.022577376392706554
316.0,0.022555181138600354
317.0,0.02256562544904994
318.0,0.02254377365706897
319.0,0.022620289922196033
320.0,0.022500817336918128
321.0,0.022619500405570328
322.0,0.022499909149459252
323.0,0.022516951966533562
324.0,0.022590398562067734
325.0,0.022442336367137775
326.0,0.022518350855721923
327.0,0.022508634228634042
328.0,0.022375581881926107
329.0,0.0224807098007373
330.0,0.02244407930891862
331.0,0.02233763149375026
332.0,0.022387336787431093
333.0,0.02235789452795939
334.0,0.02227252073756717
335.0,0.02230385068366148
336.0,0.02227774445578997
337.0,0.022194009680113733
338.0,0.02218471989084319
339.0,0.022172746174867048
340.0,0.022109309957392364
341.0,0.022094713098075255
342.0,0.02206946032523128
343.0,0.02202810242361446
344.0,0.021962101621465727
345.0,0.02195217770814066
346.0,0.021923114197949237
347.0,0.021882963974369535
348.0,0.02185057536981226
349.0,0.021819228506947914
350.0,0.02178285829472091
351.0,0.021743041415003
352.0,0.021704125211280616
353.0,0.021674547275643687
354.0,0.021641778729749744
355.0,0.02160477288634383
356.0,0.02157173430136653
357.0,0.021536743183486303
358.0,0.02150304671082135
359.0,0.0214679484034065
360.0,0.02143222443379048
361.0,0.02140001615086945
362.0,0.0213684046999282
363.0,0.021335644088239188
364.0,0.02130311987295124
365.0,0.021270328063261214
366.0,0.021238328097700685
367.0,0.02120688562697238
368.0,0.021175023155248825
369.0,0.021144719455930956
370.0,0.021113489349004616
371.0,0.02108433930737522
372.0,0.02105099654496828
373.0,0.021023939922165114
374.0,0.02099378096362755
375.0,0.020966117837726915
376.0,0.020934919019050535
377.0,0.02090890456907256
378.0,0.02088130601799696
379.0,0.020849850462568358
380.0,0.02082276490405875
381.0,0.02079421498259381
382.0,0.02076755542279792
383.0,0.020734066208929636
384.0,0.02070768070468343
385.0,0.020678197639765732
386.0,0.02065226216856613
387.0,0.020627692194677
388.0,0.020595654590511932
389.0,0.02056721635813127
390.0,0.02055132268036683
391.0,0.020519046748476353
392.0,0.020490494408823674
393.0,0.020461877615558326
394.0,0.02043556448612941
395.0,0.020406782895156857
396.0,0.020379835282458722
397.0,0.0203371650186416
