month,res,mean,median
1,30.0,0.3639751411951212,0.2434802614003381
1,60.0,0.34759786309870555,0.2165643320833802
1,120.0,0.33507711936984574,0.1964536059485795
1,200.0,0.3235962507608786,0.1780315023947481
1,400.0,0.2891111414361891,0.1276553697118196
1,800.0,0.2562342819597535,0.0840664438445302
1,1500.0,0.22214501200257006,0.045767132745864
1,2000.0,0.2093307371675786,0.03354602550565
1,3000.0,0.192388697584159,0.0195182812509357
2,30.0,0.40515025883643685,0.3312027061385012
2,60.0,0.38762327552605574,0.30047224088703306
2,120.0,0.3740734541130396,0.2775484684350845
2,200.0,0.3615242734793053,0.2557063918092459
2,400.0,0.32304087063749265,0.1946966865312617
2,800.0,0.2851508159082272,0.13986728325985837
2,1500.0,0.2447592442416904,0.08546597070233534
2,2000.0,0.2294307868688939,0.0665837945243558
2,3000.0,0.20912625885241515,0.04330472748328655
3,30.0,0.3962384132449706,0.3266276316028417
3,60.0,0.37750803145705775,0.29509349639997773
3,120.0,0.3630273684600439,0.27110125552153264
3,200.0,0.3496106524462308,0.2495016400800407
3,400.0,0.308452654279264,0.1861079270311537
3,800.0,0.26805877953249985,0.13084601706537505
3,1500.0,0.22568675227220872,0.07867448026380025
3,2000.0,0.20972783283246085,0.0613439812742723
3,3000.0,0.18856214969553164,0.0396148212504738
4,30.0,0.3985430242404098,0.3402834447290826
4,60.0,0.378310693017851,0.3057261896310586
4,120.0,0.36267727458092724,0.2801814180284045
4,200.0,0.3482022632006602,0.2566501769734579
4,400.0,0.3037818864893883,0.1889846462894001
4,800.0,0.26015017215463554,0.1310807646245643
4,1500.0,0.21452032155742676,0.0774571749354915
4,2000.0,0.19754845707215998,0.0598507444146515
4,3000.0,0.17518574201344628,0.0384320975245154
5,30.0,0.3984874301845281,0.3365514943300434
5,60.0,0.3775397010189279,0.3007743760782776
5,120.0,0.3614095026411846,0.2738194828166992
5,200.0,0.34655628558139284,0.2496030570861521
5,400.0,0.3014854013678241,0.1821057572382072
5,800.0,0.25797241698175993,0.1254241721889275
5,1500.0,0.21291726583931353,0.0738080997389026
5,2000.0,0.19627835938311827,0.0562395588527154
5,3000.0,0.17451711835830883,0.0352795206877568
6,30.0,0.410878610022575,0.3461733985177968
6,60.0,0.3906557326811059,0.3097839133956514
6,120.0,0.3751279153070874,0.2828865694479593
6,200.0,0.3608926569286176,0.2587456776789453
6,400.0,0.31808067689382485,0.1919429565508847
6,800.0,0.2771380460704015,0.1350576439318668
6,1500.0,0.23459200701201469,0.0820306623750094
6,2000.0,0.21876378721269932,0.0634475420779255
6,3000.0,0.19811610709445757,0.0406007192636923
7,30.0,0.407695725237793,0.3351577596593095
7,60.0,0.38863548258285446,0.3007398826055488
7,120.0,0.3740067367235636,0.2746165968923608
7,200.0,0.36059987363335466,0.2512355100194354
7,400.0,0.32029629637471363,0.1865172096328294
7,800.0,0.2817300690507141,0.1312620321890634
7,1500.0,0.24145328673228927,0.0789724607457824
7,2000.0,0.2264436838522978,0.0608058247846855
7,3000.0,0.2068565208703544,0.0386571419129
8,30.0,0.4411249523936506,0.407013244281417
8,60.0,0.4210849008285,0.3686834295878556
8,120.0,0.4055527409463043,0.3400795733923352
8,200.0,0.39117381615348884,0.3144101699635349
8,400.0,0.34705756944749633,0.2421413721803178
8,800.0,0.3036823096141179,0.1761753868765166
8,1500.0,0.2579593135025071,0.1092253826600585
8,2000.0,0.24099075007134338,0.0857893427754446
8,3000.0,0.21901554359365158,0.056837587974749
9,30.0,0.4399242977463512,0.41910666872674895
9,60.0,0.41917348619149214,0.380452899980108
9,120.0,0.40304960390372346,0.3521380723590118
9,200.0,0.3880512703163251,0.3259298790382163
9,400.0,0.34152460917230054,0.24904561705928863
9,800.0,0.2949603130651721,0.1796100549188899
9,1500.0,0.24527885489143336,0.11121132806401329
9,2000.0,0.22675807986663904,0.08735171365140096
9,3000.0,0.20268507038508127,0.058288356316064896
10,30.0,0.41656481638906373,0.38224971596848056
10,60.0,0.3949943104460239,0.3459916797071279
10,120.0,0.37828267655578635,0.31835112844800534
10,200.0,0.3627467498959009,0.2924953787548984
10,400.0,0.314684425289548,0.21860784372268835
10,800.0,0.2670421170009677,0.15270535244470407
10,1500.0,0.2172221239499119,0.09073879586997124
10,2000.0,0.1989071637697641,0.06957800572294165
10,3000.0,0.17516874667416654,0.04496255607250295
11,30.0,0.38427313068928426,0.32050444585872256
11,60.0,0.3638600858848143,0.28650251051670184
11,120.0,0.3481555503493985,0.26060407733730817
11,200.0,0.3336627681278703,0.237040670587155
11,400.0,0.28957823935387905,0.16975410632357135
11,800.0,0.24699145393194585,0.11193619498051866
11,1500.0,0.20326256095077438,0.06094864935729695
11,2000.0,0.18729839064178716,0.04500956976979345
11,3000.0,0.166541237151437,0.02682810057870745
12,30.0,0.35788556198093113,0.25874379462393066
12,60.0,0.3396863146031259,0.2297030076428733
12,120.0,0.3257644670130114,0.20793810730694884
12,200.0,0.3129926069591504,0.18874011350169315
12,400.0,0.27464147523003446,0.13280562372007276
12,800.0,0.2382410851230681,0.08598768868451365
12,1500.0,0.2009785503015164,0.044875134910884254
12,2000.0,0.18725486883954853,0.031966836314123406
12,3000.0,0.16926363433810435,0.0177869316335418
