0.3	5.163462172607435	5.6661380449654
0.35	4.6144879724067955	5.029540255179324
0.4	4.1961610663561	4.546939926787156
0.45	3.865594499604187	4.167456882997382
0.5	3.5969497058828375	3.8604969452401985
0.55	3.3737104177124118	3.6065448929108457
0.6	3.184813272985264	3.392557011124855
0.65	3.022560532035998	3.2094779601212617
0.7	2.881424985258485	3.0508205003592326
0.75	2.757331357350311	2.9118124539151347
0.8	2.6472061469886334	2.788862962313739
0.85	2.5486856288035544	2.6792167084736156
0.9	2.459920680608183	2.5807230996639294
0.95	2.3794428785620663	2.4916781214768737
1.0	2.306070495957071	2.4107134727358805
